id,sus_01,sus_02,sus_03,sus_04,sus_05,sus_06,sus_07,sus_08,sus_09,sus_10,sus_score
R01,4,2,4,1,4,3,4,2,5,2,77.5
R02,5,1,4,1,4,2,4,1,4,1,87.5
R03,4,2,5,2,4,1,4,1,4,1,85
R04,4,2,5,3,5,2,4,2,4,2,77.5
R05,4,2,4,1,3,2,4,2,4,3,72.5
R06,4,1,4,3,5,1,5,1,4,1,87.5
R07,4,2,4,2,4,2,4,2,5,1,80
R08,4,2,4,2,4,2,4,2,4,1,77.5
R09,5,2,5,1,5,1,5,1,5,2,95
R10,4,1,5,1,4,2,5,1,5,1,92.5
R11,4,1,4,2,5,2,5,1,3,1,85
R12,4,2,4,2,4,2,3,3,5,2,72.5
R13,4,1,5,2,5,2,4,1,5,2,87.5
R14,4,2,4,2,4,2,4,2,4,2,75
R15,4,1,4,1,4,1,4,2,4,1,85
R16,4,1,4,2,4,1,5,2,5,1,87.5
R17,5,2,4,2,4,2,4,2,4,2,77.5
R18,5,1,5,2,5,1,5,1,4,1,95
R19,4,1,5,1,5,1,5,1,5,1,97.5
R20,4,2,4,3,4,2,5,2,4,3,72.5
R21,5,1,4,2,4,3,4,2,5,2,80
R22,3,3,3,4,4,2,3,2,4,3,57.5
R23,5,1,5,1,4,1,5,1,5,1,97.5
R24,4,2,4,2,4,2,4,3,4,2,72.5
