id,nps_0_10,clasificacion_nps,csat_1_5,ces_facilidad_1_7,intencion_continuar_1_5,confianza_en_cifras_1_5,claridad_visual_1_5,velocidad_percibida_1_5,recomendaria_a_un_amigo,disposicion_pago_mensual_mxn
R01,10,Promotor,5,6,4,4,5,4,Sí,49
R02,10,Promotor,5,7,5,4,5,5,Sí,0
R03,9,Promotor,4,6,4,4,4,4,Sí,49
R04,7,Pasivo,5,5,4,4,4,4,Sí,49
R05,7,Pasivo,4,5,4,3,5,4,Sí,0
R06,9,Promotor,4,6,4,5,4,5,Sí,49
R07,7,Pasivo,4,5,4,4,5,4,Sí,99
R08,6,Detractor,3,5,3,3,4,4,No,49
R09,9,Promotor,4,6,5,5,5,5,Sí,0
R10,10,Promotor,5,6,5,4,5,4,Sí,99
R11,7,Pasivo,4,5,5,3,4,4,Sí,49
R12,5,Detractor,4,4,3,3,5,4,No,0
R13,10,Promotor,5,6,4,4,4,4,Sí,49
R14,8,Pasivo,4,5,4,4,4,4,Sí,0
R15,9,Promotor,4,6,5,4,5,4,Sí,99
R16,10,Promotor,4,5,4,4,5,4,Sí,49
R17,8,Pasivo,4,5,4,4,3,4,Sí,0
R18,9,Promotor,5,6,4,4,4,4,Sí,49
R19,9,Promotor,5,7,5,4,5,4,Sí,49
R20,8,Pasivo,4,4,3,4,4,4,Sí,49
R21,7,Pasivo,4,5,4,4,4,4,Sí,49
R22,6,Detractor,3,4,3,3,4,3,No,0
R23,9,Promotor,4,6,5,5,5,5,Sí,49
R24,3,Detractor,3,4,3,4,4,4,No,0
