id,modulo_clave,modulo,lo_uso,utilidad_1_5,frecuencia_semanal
R01,dashboard,Dashboard,Sí,4,5
R01,portafolios,Portafolios y transacciones,Sí,4,5
R01,analytics,Analytics (riesgo y retornos),Sí,4,6
R01,mercados,Mercados,Sí,5,7
R01,watchlist,Watchlist,No,,0
R01,alertas,Alertas,Sí,4,5
R01,asesor,Asesor (perfil + simulación),Sí,4,5
R01,discover,Discover / Social,Sí,3,5
R02,dashboard,Dashboard,Sí,3,3
R02,portafolios,Portafolios y transacciones,Sí,5,8
R02,analytics,Analytics (riesgo y retornos),Sí,4,5
R02,mercados,Mercados,Sí,5,7
R02,watchlist,Watchlist,Sí,4,6
R02,alertas,Alertas,Sí,3,5
R02,asesor,Asesor (perfil + simulación),Sí,4,7
R02,discover,Discover / Social,Sí,4,5
R03,dashboard,Dashboard,Sí,5,6
R03,portafolios,Portafolios y transacciones,Sí,4,5
R03,analytics,Analytics (riesgo y retornos),Sí,4,7
R03,mercados,Mercados,Sí,4,5
R03,watchlist,Watchlist,Sí,4,5
R03,alertas,Alertas,No,,0
R03,asesor,Asesor (perfil + simulación),No,,0
R03,discover,Discover / Social,No,,0
R04,dashboard,Dashboard,Sí,4,5
R04,portafolios,Portafolios y transacciones,Sí,5,7
R04,analytics,Analytics (riesgo y retornos),No,,0
R04,mercados,Mercados,No,,0
R04,watchlist,Watchlist,Sí,4,6
R04,alertas,Alertas,No,,0
R04,asesor,Asesor (perfil + simulación),Sí,5,7
R04,discover,Discover / Social,Sí,4,6
R05,dashboard,Dashboard,Sí,5,7
R05,portafolios,Portafolios y transacciones,Sí,4,5
R05,analytics,Analytics (riesgo y retornos),No,,0
R05,mercados,Mercados,No,,0
R05,watchlist,Watchlist,No,,0
R05,alertas,Alertas,Sí,3,4
R05,asesor,Asesor (perfil + simulación),Sí,4,7
R05,discover,Discover / Social,Sí,4,6
R06,dashboard,Dashboard,Sí,5,6
R06,portafolios,Portafolios y transacciones,Sí,5,9
R06,analytics,Analytics (riesgo y retornos),No,,0
R06,mercados,Mercados,Sí,4,6
R06,watchlist,Watchlist,Sí,5,7
R06,alertas,Alertas,Sí,4,6
R06,asesor,Asesor (perfil + simulación),No,,0
R06,discover,Discover / Social,Sí,4,5
