id,dia,fecha,dia_semana,mercado,registro_completado,sesiones,minutos_en_app,operaciones_registradas,aportacion_mxn,retorno_dia_pct,pnl_dia_mxn,valor_portafolio_mxn,pnl_acumulado_mxn,indice_twr,alertas_recibidas,alertas_accionadas,nota_del_participante
R01,1,2026-08-03,Lunes,Abierto,Sí,3,7.1,3,0,0.332,60,18060,60,1.003323,1,1,Todo en verde; comparé contra el benchmark.
R01,2,2026-08-04,Martes,Abierto,Sí,2,5.5,0,0,-0.432,-78,17982,-18,0.998988,0,0,"Día en rojo, entré solo a confirmar que no era error de la app."
R01,3,2026-08-05,Miércoles,Abierto,Sí,3,14,0,0,0.001,0,17982,-18,0.999003,2,1,"Buen día, aproveché para revisar mi asignación."
R01,4,2026-08-06,Jueves,Abierto,Sí,3,11.4,0,0,0.066,12,17994,-6,0.999664,2,1,Todo en verde; comparé contra el benchmark.
R01,5,2026-08-07,Viernes,Abierto,Sí,4,8.6,2,900,0.042,8,18902,2,1.000089,3,2,Subió el ETF del S&P; la tarjeta de ganancia del día lo mostró al instante.
R01,6,2026-08-08,Sábado,Cerrado,Sí,1,5.7,0,0,0,0,18902,2,1.000089,0,0,"Mercado cerrado, solo revisé el resumen de la semana."
R01,7,2026-08-09,Domingo,Cerrado,No,0,0,0,0,0,0,18902,2,1.000089,0,0,
R02,1,2026-08-03,Lunes,Abierto,Sí,3,15.1,1,0,-0.368,-534,144466,-534,0.996318,1,1,"Día en rojo, entré solo a confirmar que no era error de la app."
R02,2,2026-08-04,Martes,Abierto,Sí,2,9.9,0,0,-1.729,-2497,141969,-3031,0.979095,0,0,"Caída general, revisé la alerta de concentración."
R02,3,2026-08-05,Miércoles,Abierto,Sí,3,11.8,1,0,0.377,536,142504,-2496,0.982789,2,1,Todo en verde; comparé contra el benchmark.
R02,4,2026-08-06,Jueves,Abierto,Sí,3,9.4,1,0,-1.086,-1548,140956,-4044,0.972112,0,0,Rojo otra vez; leí la sección de riesgo para entenderlo.
R02,5,2026-08-07,Viernes,Abierto,Sí,3,11.2,1,0,0.062,88,141044,-3956,0.972716,0,0,Todo en verde; comparé contra el benchmark.
R02,6,2026-08-08,Sábado,Cerrado,Sí,1,9.2,0,0,0,0,141044,-3956,0.972716,0,0,"Mercado cerrado, solo revisé el resumen de la semana."
R02,7,2026-08-09,Domingo,Cerrado,Sí,2,11.2,0,0,0,0,141044,-3956,0.972716,0,0,Fin de semana: registré una aportación programada.
R03,1,2026-08-03,Lunes,Abierto,Sí,2,8,0,0,-0.422,-219,51781,-219,0.995783,0,0,"Día en rojo, entré solo a confirmar que no era error de la app."
R03,2,2026-08-04,Martes,Abierto,Sí,3,11.7,0,0,-0.109,-57,51724,-276,0.994695,0,0,"Caída general, revisé la alerta de concentración."
R03,3,2026-08-05,Miércoles,Abierto,Sí,3,11.1,1,0,0.629,325,52049,49,1.00095,0,0,"Día verde, revisé el panel a la hora de la comida."
R03,4,2026-08-06,Jueves,Abierto,Sí,3,5.7,0,0,0.177,92,52142,142,1.002724,0,0,"Día verde, revisé el panel a la hora de la comida."
R03,5,2026-08-07,Viernes,Abierto,Sí,3,8.3,0,0,0.515,269,52410,410,1.007888,0,0,Subió el ETF del S&P; la tarjeta de ganancia del día lo mostró al instante.
R03,6,2026-08-08,Sábado,Cerrado,Sí,2,7.7,0,0,0,0,52410,410,1.007888,0,0,"Mercado cerrado, solo revisé el resumen de la semana."
R03,7,2026-08-09,Domingo,Cerrado,No,0,0,0,0,0,0,52410,410,1.007888,0,0,
