id,perfil_riesgo,capital_inicial_mxn,aportaciones_semana_mxn,valor_final_mxn,pnl_semana_mxn,rendimiento_twr_semana_pct,volatilidad_diaria_pct,volatilidad_anualizada_pct,max_drawdown_semana_pct,sharpe_anualizado_aprox,dias_registrados,adherencia_pct,sesiones_semana,minutos_semana,operaciones_semana,alertas_recibidas,alertas_accionadas
R01,Conservador,18000,900,18902,2,0.009,0.275,4.37,-0.432,0.12,6,85.7,16,52.3,5,8,5
R02,Agresivo,145000,0,141044,-3956,-2.728,0.858,13.62,-2.789,-10.15,7,100,17,77.8,4,3,2
R03,Moderado,52000,0,52410,410,0.789,0.435,6.91,-0.53,5.77,6,85.7,16,52.5,1,0,0
R04,Moderado,210000,0,210732,732,0.348,0.439,6.96,-0.745,2.55,6,85.7,11,70.1,3,0,0
R05,Conservador,35000,0,35269,269,0.769,0.154,2.45,-0.019,15.78,5,71.4,13,31.9,1,4,3
R06,Moderado,380000,0,379406,-594,-0.156,0.498,7.9,-1.064,-0.97,6,85.7,16,60.9,2,3,3
R07,Agresivo,15000,500,15436,-64,-0.42,0.855,13.57,-1.763,-1.51,5,71.4,12,47.2,2,0,0
R08,Agresivo,168000,0,168070,70,0.041,1.245,19.76,-2.082,0.19,4,57.1,5,35.9,4,0,0
R09,Conservador,240000,12000,252196,196,0.082,0.271,4.31,-0.411,0.97,7,100,19,73.4,3,8,8
R10,Moderado,125000,12600,138175,575,0.454,0.461,7.32,-0.681,3.15,7,100,18,93.7,7,3,3
R11,Conservador,96000,7700,104025,325,0.338,0.217,3.45,-0.244,4.94,6,85.7,15,35.2,8,0,0
R12,Agresivo,88000,0,87368,-632,-0.718,1.064,16.89,-2.547,-2.08,3,42.9,4,12.1,2,4,2
R13,Moderado,150000,4500,154560,60,0.056,0.512,8.13,-0.751,0.38,6,85.7,16,59,2,0,0
R14,Agresivo,28000,800,29403,603,2.106,0.712,11.31,-0.652,9.36,4,57.1,11,33.6,4,6,2
R15,Conservador,42000,0,41828,-172,-0.41,0.238,3.78,-0.62,-5.46,6,85.7,15,50,7,0,0
R16,Moderado,195000,15700,212642,1942,0.986,0.344,5.46,-0.294,9.09,6,85.7,15,48.1,5,5,3
R17,Conservador,320000,16000,336614,614,0.192,0.225,3.56,-0.214,2.72,5,71.4,12,35.2,1,1,1
R18,Agresivo,260000,0,261336,1336,0.514,0.924,14.67,-1.643,1.82,7,100,17,87.3,3,0,0
R19,Moderado,115000,2300,118173,873,0.759,0.258,4.1,-0.191,9.33,7,100,19,74.2,7,0,0
R20,Moderado,30000,2400,32789,389,1.286,0.699,11.1,-0.588,5.85,5,71.4,12,47.9,5,6,4
R21,Moderado,410000,32800,446882,4082,0.99,0.568,9.01,-0.548,5.55,5,71.4,11,50.2,5,5,3
R22,Agresivo,12000,0,12069,69,0.578,0.598,9.5,-0.596,3.1,3,42.9,5,12.7,1,0,0
R23,Conservador,175000,0,174717,-283,-0.162,0.276,4.38,-0.419,-1.84,7,100,21,75.1,0,0,0
R24,Agresivo,78000,2300,80766,466,0.602,0.608,9.65,-0.915,3.18,4,57.1,7,24.4,4,0,0
